-;----------------------------------------------------------------------------------------------------;;;
-;brief: Testbench For entity calibrationTDCLength;;;
-;file: calibrationTDCLength_tb.xlsm;;;
-;author: Lukas Leuenberger;;;
-;----------------------------------------------------------------------------------------------------;;;
-;Copyright(c) 2020 by HSR, Switzerland;;;
-;All rights reserved.;;;
-;----------------------------------------------------------------------------------------------------;;;
-;File history:;;;
-;;;;
-;Version;Date;Author;Remarks
-;----------------------------------------------------------------------------------------------------;;;
-;0.1;03.02.2020;L. Leuenberger;Auto-Created
-;----------------------------------------------------------------------------------------------------;;;
-;Stimulus:;Response:;;Testvector:
-;start_in;maxLengthCarryChain_out;configurationRunning_out;
-;std_logic;std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic;
-;----------------------------------------------------------------------------------------------------;;;
-;Reset sequence;;;
;0;00000000000;0;1
-;Startup of Clock;;;
;0;00000000000;0;2
;0;00000000000;0;3
;0;00000000000;0;4
;0;00000000000;0;5
;0;00000000000;0;6
;0;00000000000;0;7
;0;00000000000;0;8
;0;00000000000;0;9
;0;00000000000;0;10
;0;00000000000;0;11
;0;00000000000;0;12
;0;00000000000;0;13
;0;00000000000;0;14
;0;00000000000;0;15
-;Start a calibration;;;
;1;00000000000;0;16
;0;10000000000;1;17
;0;10000000000;1;18
;0;10000000000;1;19
;0;10000000000;1;20
;0;10000000000;1;21
;0;10000000000;1;22
;0;10000000000;1;23
;0;10000000000;1;24
;0;10000000000;1;25
;0;10000000000;1;26
;0;10000000000;1;27
;0;10000000000;1;28
;0;10000000000;1;29
;0;10000000000;1;30
;0;10000000000;1;31
;0;10000000000;1;32
;0;10000000000;1;33
;0;10000000000;1;34
;0;10000000000;1;35
;0;10000000000;1;36
;0;10000000000;1;37
;0;10000000000;1;38
;0;10000000000;1;39
;0;10000000000;1;40
;0;10000000000;1;41
;0;10000000000;1;42
;0;10000000000;1;43
;0;10000000000;1;44
;0;10000000000;1;45
;0;10000000000;1;46
;0;10000000000;1;47
;0;10000000000;1;48
;0;10000000000;1;49
;0;10000000000;1;50
;0;10000000000;1;51
;0;10000000000;1;52
;0;10000000000;1;53
;0;10000000000;1;54
;0;10000000000;1;55
;0;10000000000;1;56
;0;10000000000;1;57
;0;10000000000;1;58
;0;10000000000;1;59
;0;10000000000;1;60
;0;10000000000;1;61
;0;10000000000;1;62
;0;10000000000;1;63
;0;10000000000;1;64
;0;10000000000;1;65
;0;10000000000;1;66
;0;10000000000;1;67
;0;10000000000;1;68
;0;10000000000;1;69
;0;10000000000;1;70
;0;10000000000;1;71
;0;10000000000;1;72
;0;10000000000;1;73
;0;10000000000;1;74
;0;10000000000;1;75
;0;10000000000;1;76
;0;10000000000;1;77
;0;10000000000;1;78
;0;10000000000;1;79
;0;10000000000;1;80
;0;10000000000;1;81
;0;10000000000;1;82
;0;10000000000;1;83
;0;10000000000;1;84
;0;10000000000;1;85
;0;10000000000;1;86
;0;10000000000;1;87
;0;10000000000;1;88
;0;10000000000;1;89
;0;10000000000;1;90
;0;10000000000;1;91
;0;10000000000;1;92
;0;10000000000;1;93
;0;10000000000;1;94
;0;10000000000;1;95
;0;10000000000;1;96
;0;10000000000;1;97
;0;01101000100;1;98
;0;01101000100;1;99
;0;01101000100;1;100
;0;01101000100;1;101
;0;01101000100;1;102
;0;01101000100;1;103
;0;01101000100;1;104
;0;01101000100;1;105
;0;01101000100;1;106
;0;01101000100;1;107
;0;01101000100;1;108
;0;01101000100;1;109
;0;01101000100;1;110
;0;01101000100;1;111
;0;01101000100;1;112
;0;01101000100;1;113
;0;01101000100;1;114
;0;01101000100;1;115
;0;01101000100;1;116
;0;01101000100;1;117
;0;01101000100;1;118
;0;01101000100;1;119
;0;01101000100;1;120
;0;01101000100;1;121
;0;01101000100;1;122
;0;01101000100;1;123
;0;01101000100;1;124
;0;01101000100;1;125
;0;01101000100;1;126
;0;01101000100;1;127
;0;01101000100;1;128
;0;01101000100;1;129
;0;01101000100;1;130
;0;01101000100;1;131
;0;01101000100;1;132
;0;01101000100;1;133
;0;01101000100;1;134
;0;01101000100;1;135
;0;01101000100;1;136
;0;01101000100;1;137
;0;01101000100;1;138
;0;01101000100;1;139
;0;01101000100;1;140
;0;01101000100;1;141
;0;01101000100;1;142
;0;01101000100;1;143
;0;01101000100;1;144
;0;01101000100;1;145
;0;01101000100;1;146
;0;01101000100;1;147
;0;01101000100;1;148
;0;01101000100;1;149
;0;01101000100;1;150
;0;01101000100;1;151
;0;01101000100;1;152
;0;01101000100;1;153
;0;01101000100;1;154
;0;01101000100;1;155
;0;01101000100;1;156
;0;01101000100;1;157
;0;01101000100;1;158
;0;01101000100;1;159
;0;01101000100;1;160
;0;01101000100;1;161
;0;01101000100;1;162
;0;01101000100;1;163
;0;01101000100;1;164
;0;01101000100;1;165
;0;01101000100;1;166
;0;01101000100;1;167
;0;01101000100;1;168
;0;01101000100;1;169
;0;01101000100;1;170
;0;01101000100;1;171
;0;01101000100;1;172
;0;01101000100;1;173
;0;01101000100;1;174
;0;01101000100;1;175
;0;01101000100;1;176
;0;01101000100;1;177
;0;01101000100;1;178
;0;01101000100;1;179
;0;01101000100;1;180
;0;01101000100;1;181
;0;01101000100;1;182
;0;01101000100;1;183
;0;01101000100;1;184
;0;01101000100;1;185
;0;01101000100;1;186
;0;01101000100;1;187
;0;01101000100;1;188
;0;01101000100;1;189
;0;01101000100;1;190
;0;01101000100;1;191
;0;01101000100;1;192
;0;01101000100;1;193
;0;01101000100;1;194
;0;01101000100;1;195
;0;01101000100;1;196
;0;01101000100;1;197
;0;01101000100;1;198
;0;01101000100;1;199
;0;01101000100;1;200
;0;01101000100;1;201
;0;01101000100;1;202
;0;01101000100;1;203
;0;01101000100;1;204
;0;01101000100;1;205
;0;01101000100;1;206
;0;01101000100;1;207
;0;01101000100;1;208
;0;01101000100;1;209
;0;01101000100;1;210
;0;01101000100;1;211
;0;01101000100;1;212
;0;01101000100;1;213
;0;01101000100;1;214
;0;01101000100;1;215
