-;-------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;
-;project:;Division - Testbench;;;;;;;;;
-;brief: ;This file contains the stimulus / response pairs for the Error Compensation Division.;;;;;;;;;
-;file:   ;division_tb.csv;;;;;;;;;
-;-------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;
-;Copyright(c) 2020 by OST – Eastern Switzerland University of Applied Sciences;;;;;;;;;;
-;All rights reserved.;;;;;;;;;;
-;-------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;
-;File history:;;;;;;;;;;
-;Version;Date;Author;Remarks;;;;;;;
-;0.1;24.3.2017;L. Leuenberger;Created;;;;;;;
-;0.2;10.4.2017;L. Leuenberger;Revised;;;;;;;
-;-------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;
-;Stimulus:;;;;Response:;;Testvector:;;;;
-;Start_in;Dividend_in (HEX);Divisor_in (HEX);RESETN;Busy_out;Result_out (HEX);;;Dividend (int);Divisor (int);Result (int)
-;std_logic;vector(31 downto 0);vector(31 downto 0);std_logic;std_logic;vector(31 downto 0);;;;;
-;-------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;
-;Reset sequence;;;;;;;;;;
;0;00000000;00000000;0;0;00000000;1;;0;0;0
-;Divisor is zero;;;;;;;;;;
;1;00000000;00000001;1;0;00000000;2;;0;1;0
-;Divident is zero;;;;;;;;;;
;1;00000001;00000000;1;0;00000000;3;;1;0;0
-;Calculate a simple division 10/1=10;;;;;;;;;;
;1;0000000A;00000001;1;0;00000000;4;;10;1;0
;0;00000000;00000000;1;1;00000000;5;;0;0;0
;0;00000000;00000000;1;1;00000000;6;;0;0;0
;0;00000000;00000000;1;1;00000000;7;;0;0;0
;0;00000000;00000000;1;1;00000000;8;;0;0;0
;0;00000000;00000000;1;1;00000000;9;;0;0;0
;0;00000000;00000000;1;1;00000000;10;;0;0;0
;0;00000000;00000000;1;1;00000000;11;;0;0;0
;0;00000000;00000000;1;1;00000000;12;;0;0;0
;0;00000000;00000000;1;1;00000000;13;;0;0;0
;0;00000000;00000000;1;1;00000000;14;;0;0;0
;0;00000000;00000000;1;1;00000000;15;;0;0;0
;0;00000000;00000000;1;1;00000000;16;;0;0;0
;0;00000000;00000000;1;1;00000000;17;;0;0;0
;0;00000000;00000000;1;1;00000000;18;;0;0;0
;0;00000000;00000000;1;1;00000000;19;;0;0;0
;0;00000000;00000000;1;1;00000000;20;;0;0;0
;0;00000000;00000000;1;1;00000000;21;;0;0;0
;0;00000000;00000000;1;1;00000000;22;;0;0;0
;0;00000000;00000000;1;1;00000000;23;;0;0;0
;0;00000000;00000000;1;1;00000000;24;;0;0;0
;0;00000000;00000000;1;1;00000000;25;;0;0;0
;0;00000000;00000000;1;1;00000000;26;;0;0;0
;0;00000000;00000000;1;1;00000000;27;;0;0;0
;0;00000000;00000000;1;1;00000000;28;;0;0;0
;0;00000000;00000000;1;1;00000000;29;;0;0;0
;0;00000000;00000000;1;1;00000000;30;;0;0;0
;0;00000000;00000000;1;1;00000000;31;;0;0;0
;0;00000000;00000000;1;1;00000000;32;;0;0;0
;0;00000000;00000000;1;1;00000000;33;;0;0;0
;0;00000000;00000000;1;1;00000000;34;;0;0;0
;0;00000000;00000000;1;1;00000000;35;;0;0;0
;0;00000000;00000000;1;1;00000000;36;;0;0;0
;0;00000000;00000000;1;1;00000000;37;;0;0;0
;0;00000000;00000000;1;1;00000000;38;;0;0;0
;0;00000000;00000000;1;1;00000000;39;;0;0;0
;0;00000000;00000000;1;1;00000000;40;;0;0;0
;0;00000000;00000000;1;1;00000000;41;;0;0;0
;0;00000000;00000000;1;1;00000000;42;;0;0;0
;0;00000000;00000000;1;1;00000000;43;;0;0;0
;0;00000000;00000000;1;1;00000000;44;;0;0;0
;0;00000000;00000000;1;1;00000000;45;;0;0;0
;0;00000000;00000000;1;1;00000000;46;;0;0;0
;0;00000000;00000000;1;1;00000000;47;;0;0;0
;0;00000000;00000000;1;1;00000000;48;;0;0;0
;0;00000000;00000000;1;1;00000000;49;;0;0;0
;0;00000000;00000000;1;1;00000000;50;;0;0;0
;0;00000000;00000000;1;1;00000000;51;;0;0;0
;0;00000000;00000000;1;1;00000000;52;;0;0;0
;0;00000000;00000000;1;1;00000000;53;;0;0;0
;0;00000000;00000000;1;1;00000000;54;;0;0;0
;0;00000000;00000000;1;1;00000000;55;;0;0;0
;0;00000000;00000000;1;1;00000000;56;;0;0;0
;0;00000000;00000000;1;1;00000000;57;;0;0;0
;0;00000000;00000000;1;1;00000000;58;;0;0;0
;0;00000000;00000000;1;1;00000000;59;;0;0;0
;0;00000000;00000000;1;1;00000000;60;;0;0;0
;0;00000000;00000000;1;1;00000000;61;;0;0;0
;0;00000000;00000000;1;1;00000000;62;;0;0;0
;0;00000000;00000000;1;1;00000000;63;;0;0;0
;0;00000000;00000000;1;1;00000000;64;;0;0;0
;0;00000000;00000000;1;1;00000000;65;;0;0;0
;0;00000000;00000000;1;1;00000000;66;;0;0;0
;0;00000000;00000000;1;1;00000000;67;;0;0;0
;0;00000000;00000000;1;1;00000000;68;;0;0;0
;0;00000000;00000000;1;1;00000000;69;;0;0;0
;0;00000000;00000000;1;0;0000000A;70;;0;0;10
-;Calculate a simple division 10/2=5;;;;;;;;;;
;1;0000000A;00000002;1;0;0000000A;71;;10;2;10
;0;00000000;00000000;1;1;0000000A;72;;0;0;10
;0;00000000;00000000;1;1;0000000A;73;;0;0;10
;0;00000000;00000000;1;1;0000000A;74;;0;0;10
;0;00000000;00000000;1;1;0000000A;75;;0;0;10
;0;00000000;00000000;1;1;0000000A;76;;0;0;10
;0;00000000;00000000;1;1;0000000A;77;;0;0;10
;0;00000000;00000000;1;1;0000000A;78;;0;0;10
;0;00000000;00000000;1;1;0000000A;79;;0;0;10
;0;00000000;00000000;1;1;0000000A;80;;0;0;10
;0;00000000;00000000;1;1;0000000A;81;;0;0;10
;0;00000000;00000000;1;1;0000000A;82;;0;0;10
;0;00000000;00000000;1;1;0000000A;83;;0;0;10
;0;00000000;00000000;1;1;0000000A;84;;0;0;10
;0;00000000;00000000;1;1;0000000A;85;;0;0;10
;0;00000000;00000000;1;1;0000000A;86;;0;0;10
;0;00000000;00000000;1;1;0000000A;87;;0;0;10
;0;00000000;00000000;1;1;0000000A;88;;0;0;10
;0;00000000;00000000;1;1;0000000A;89;;0;0;10
;0;00000000;00000000;1;1;0000000A;90;;0;0;10
;0;00000000;00000000;1;1;0000000A;91;;0;0;10
;0;00000000;00000000;1;1;0000000A;92;;0;0;10
;0;00000000;00000000;1;1;0000000A;93;;0;0;10
;0;00000000;00000000;1;1;0000000A;94;;0;0;10
;0;00000000;00000000;1;1;0000000A;95;;0;0;10
;0;00000000;00000000;1;1;0000000A;96;;0;0;10
;0;00000000;00000000;1;1;0000000A;97;;0;0;10
;0;00000000;00000000;1;1;0000000A;98;;0;0;10
;0;00000000;00000000;1;1;0000000A;99;;0;0;10
;0;00000000;00000000;1;1;0000000A;100;;0;0;10
;0;00000000;00000000;1;1;0000000A;101;;0;0;10
;0;00000000;00000000;1;1;0000000A;102;;0;0;10
;0;00000000;00000000;1;1;0000000A;103;;0;0;10
;0;00000000;00000000;1;1;0000000A;104;;0;0;10
;0;00000000;00000000;1;1;0000000A;105;;0;0;10
;0;00000000;00000000;1;1;0000000A;106;;0;0;10
;0;00000000;00000000;1;1;0000000A;107;;0;0;10
;0;00000000;00000000;1;1;0000000A;108;;0;0;10
;0;00000000;00000000;1;1;0000000A;109;;0;0;10
;0;00000000;00000000;1;1;0000000A;110;;0;0;10
;0;00000000;00000000;1;1;0000000A;111;;0;0;10
;0;00000000;00000000;1;1;0000000A;112;;0;0;10
;0;00000000;00000000;1;1;0000000A;113;;0;0;10
;0;00000000;00000000;1;1;0000000A;114;;0;0;10
;0;00000000;00000000;1;1;0000000A;115;;0;0;10
;0;00000000;00000000;1;1;0000000A;116;;0;0;10
;0;00000000;00000000;1;1;0000000A;117;;0;0;10
;0;00000000;00000000;1;1;0000000A;118;;0;0;10
;0;00000000;00000000;1;1;0000000A;119;;0;0;10
;0;00000000;00000000;1;1;0000000A;120;;0;0;10
;0;00000000;00000000;1;1;0000000A;121;;0;0;10
;0;00000000;00000000;1;1;0000000A;122;;0;0;10
;0;00000000;00000000;1;1;0000000A;123;;0;0;10
;0;00000000;00000000;1;1;0000000A;124;;0;0;10
;0;00000000;00000000;1;1;0000000A;125;;0;0;10
