-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;brief: Testbench For entity dnl;;;;;;;;
-;file: dnl_tb.xlsm;;;;;;;;
-;author: Lukas Leuenberger;;;;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Copyright(c) 2020 by HSR, Switzerland;;;;;;;;
-;All rights reserved.;;;;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;File history:;;;;;;;;
-;;;;;;;;;
-;Version;Date;Author;Remarks;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;0;08.04.2020;L. Leuenberger;Auto-Created;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Stimulus:;;;;;Response:;;;Testvector:
-;start_in;histData_in;dnlAddr_in;minLengthCarryChain_in;maxLengthCarryChain_in;histAddr_out;dnlData_out;dnlRunning_out;
-;std_logic;std_logic_vector(G_NO_OF_SAMPLES_HIST - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NO_OF_SAMPLES_HIST + g_NO_OF_FRACTIONAL downto 0);std_logic;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Reset sequence;;;;;;;;
;0;000;000;000;000;UUU;0000000;0;1
-;Calculate the DNL;;;;;;;;
;1;000;000;000;110;UUU;0000000;0;2
;1;000;000;000;110;UUU;0000000;1;3
;1;000;000;000;110;000;0000000;1;4
;1;000;000;000;110;001;0000000;1;5
;1;001;000;000;110;010;0000000;1;6
;1;011;000;000;110;011;0000000;1;7
;1;100;000;000;110;100;0000000;1;8
;1;101;000;000;110;101;0000000;1;9
;1;111;000;000;110;110;0000000;1;10
;1;001;000;000;110;111;0000000;1;11
;1;000;000;000;110;000;0000000;1;12
;1;000;000;000;110;000;0000000;1;13
;1;000;000;000;110;000;0000000;1;14
;1;000;000;000;110;000;0000000;1;15
;1;000;000;000;110;000;0000000;1;16
;1;000;000;000;110;000;0000000;1;17
;1;000;000;000;110;000;0000000;1;18
;1;000;000;000;110;000;0000000;1;19
;1;000;000;000;110;000;0000000;1;20
;1;000;000;000;110;000;0000000;1;21
;1;000;000;000;110;000;0000000;1;22
;1;000;000;000;110;000;0000000;1;23
;1;000;000;000;110;000;0000000;1;24
;1;000;000;000;110;000;0000000;1;25
;1;000;000;000;110;000;0000000;1;26
;1;000;000;000;110;000;0000000;1;27
;1;000;000;000;110;000;0000000;1;28
;1;000;000;000;110;000;0000000;1;29
;1;000;000;000;110;000;0000000;1;30
;1;000;000;000;110;000;0000000;1;31
;1;000;000;000;110;000;0000000;1;32
;1;000;000;000;110;000;0000000;1;33
;1;000;000;000;110;000;0000000;1;34
;1;000;000;000;110;000;0000000;1;35
;1;000;000;000;110;000;0000000;1;36
;1;000;000;000;110;000;0000000;1;37
;1;000;000;000;110;000;0000000;1;38
;1;000;000;000;110;000;0000000;1;39
;1;000;000;000;110;000;0000000;1;40
-;DNL 1;;;;;;;;
;1;000;000;000;110;001;0000000;1;41
;1;001;000;000;110;001;0000000;1;42
;1;000;000;000;110;001;0000000;1;43
;1;000;000;000;110;001;0000000;1;44
;1;000;000;000;110;001;0000000;1;45
;1;000;000;000;110;001;0000000;1;46
;1;000;000;000;110;001;0000000;1;47
;1;000;000;000;110;001;0000000;1;48
;1;000;000;000;110;001;0000000;1;49
;1;000;000;000;110;001;0000000;1;50
;1;000;000;000;110;001;0000000;1;51
;1;000;000;000;110;001;0000000;1;52
;1;000;000;000;110;001;0000000;1;53
;1;000;000;000;110;001;0000000;1;54
;1;000;000;000;110;001;0000000;1;55
;1;000;000;000;110;001;0000000;1;56
;1;000;000;000;110;001;0000000;1;57
;1;000;000;000;110;001;0000000;1;58
;1;000;000;000;110;001;0000000;1;59
;1;000;000;000;110;001;0000000;1;60
;1;000;000;000;110;001;0000000;1;61
;1;000;000;000;110;001;0000000;1;62
;1;000;000;000;110;001;0000000;1;63
;1;000;000;000;110;001;0000000;1;64
;1;000;000;000;110;001;0000000;1;65
;1;000;000;000;110;001;0000000;1;66
;1;000;000;000;110;001;0000000;1;67
;1;000;000;000;110;001;0000000;1;68
;1;000;000;000;110;001;0000000;1;69
;1;000;000;000;110;001;0000000;1;70
-;DNL 2;;;;;;;;
;1;000;000;000;110;010;0000000;1;71
;1;011;000;000;110;010;0000000;1;72
;1;000;000;000;110;010;0000000;1;73
;1;000;000;000;110;010;0000000;1;74
;1;000;000;000;110;010;0000000;1;75
;1;000;000;000;110;010;0000000;1;76
;1;000;000;000;110;010;0000000;1;77
;1;000;000;000;110;010;0000000;1;78
;1;000;000;000;110;010;0000000;1;79
;1;000;000;000;110;010;0000000;1;80
;1;000;000;000;110;010;0000000;1;81
;1;000;000;000;110;010;0000000;1;82
;1;000;000;000;110;010;0000000;1;83
;1;000;000;000;110;010;0000000;1;84
;1;000;000;000;110;010;0000000;1;85
;1;000;000;000;110;010;0000000;1;86
;1;000;000;000;110;010;0000000;1;87
;1;000;000;000;110;010;0000000;1;88
;1;000;000;000;110;010;0000000;1;89
;1;000;000;000;110;010;0000000;1;90
;1;000;000;000;110;010;0000000;1;91
;1;000;000;000;110;010;0000000;1;92
;1;000;000;000;110;010;0000000;1;93
;1;000;000;000;110;010;0000000;1;94
;1;000;000;000;110;010;0000000;1;95
;1;000;000;000;110;010;0000000;1;96
;1;000;000;000;110;010;0000000;1;97
;1;000;000;000;110;010;0000000;1;98
;1;000;000;000;110;010;0000000;1;99
;1;000;000;000;110;010;0000000;1;100
-;DNL 3;;;;;;;;
;1;000;000;000;110;011;0000000;1;101
;1;100;000;000;110;011;0000000;1;102
;1;000;000;000;110;011;0000000;1;103
;1;000;000;000;110;011;0000000;1;104
;1;000;000;000;110;011;0000000;1;105
;1;000;000;000;110;011;0000000;1;106
;1;000;000;000;110;011;0000000;1;107
;1;000;000;000;110;011;0000000;1;108
;1;000;000;000;110;011;0000000;1;109
;1;000;000;000;110;011;0000000;1;110
;1;000;000;000;110;011;0000000;1;111
;1;000;000;000;110;011;0000000;1;112
;1;000;000;000;110;011;0000000;1;113
;1;000;000;000;110;011;0000000;1;114
;1;000;000;000;110;011;0000000;1;115
;1;000;000;000;110;011;0000000;1;116
;1;000;000;000;110;011;0000000;1;117
;1;000;000;000;110;011;0000000;1;118
;1;000;000;000;110;011;0000000;1;119
;1;000;000;000;110;011;0000000;1;120
;1;000;000;000;110;011;0000000;1;121
;1;000;000;000;110;011;0000000;1;122
;1;000;000;000;110;011;0000000;1;123
;1;000;000;000;110;011;0000000;1;124
;1;000;000;000;110;011;0000000;1;125
;1;000;000;000;110;011;0000000;1;126
;1;000;000;000;110;011;0000000;1;127
;1;000;000;000;110;011;0000000;1;128
;1;000;000;000;110;011;0000000;1;129
;1;000;000;000;110;011;0000000;1;130
-;DNL 4;;;;;;;;
;1;000;000;000;110;100;0000000;1;131
;1;101;000;000;110;100;0000000;1;132
;1;000;000;000;110;100;0000000;1;133
;1;000;000;000;110;100;0000000;1;134
;1;000;000;000;110;100;0000000;1;135
;1;000;000;000;110;100;0000000;1;136
;1;000;000;000;110;100;0000000;1;137
;1;000;000;000;110;100;0000000;1;138
;1;000;000;000;110;100;0000000;1;139
;1;000;000;000;110;100;0000000;1;140
;1;000;000;000;110;100;0000000;1;141
;1;000;000;000;110;100;0000000;1;142
;1;000;000;000;110;100;0000000;1;143
;1;000;000;000;110;100;0000000;1;144
;1;000;000;000;110;100;0000000;1;145
;1;000;000;000;110;100;0000000;1;146
;1;000;000;000;110;100;0000000;1;147
;1;000;000;000;110;100;0000000;1;148
;1;000;000;000;110;100;0000000;1;149
;1;000;000;000;110;100;0000000;1;150
;1;000;000;000;110;100;0000000;1;151
;1;000;000;000;110;100;0000000;1;152
;1;000;000;000;110;100;0000000;1;153
;1;000;000;000;110;100;0000000;1;154
;1;000;000;000;110;100;0000000;1;155
;1;000;000;000;110;100;0000000;1;156
;1;000;000;000;110;100;0000000;1;157
;1;000;000;000;110;100;0000000;1;158
;1;000;000;000;110;100;0000000;1;159
;1;000;000;000;110;100;0000000;1;160
-;DNL 5;;;;;;;;
;1;000;000;000;110;101;0000000;1;161
;1;111;000;000;110;101;0000000;1;162
;1;000;000;000;110;101;0000000;1;163
;1;000;000;000;110;101;0000000;1;164
;1;000;000;000;110;101;0000000;1;165
;1;000;000;000;110;101;0000000;1;166
;1;000;000;000;110;101;0000000;1;167
;1;000;000;000;110;101;0000000;1;168
;1;000;000;000;110;101;0000000;1;169
;1;000;000;000;110;101;0000000;1;170
;1;000;000;000;110;101;0000000;1;171
;1;000;000;000;110;101;0000000;1;172
;1;000;000;000;110;101;0000000;1;173
;1;000;000;000;110;101;0000000;1;174
;1;000;000;000;110;101;0000000;1;175
;1;000;000;000;110;101;0000000;1;176
;1;000;000;000;110;101;0000000;1;177
;1;000;000;000;110;101;0000000;1;178
;1;000;000;000;110;101;0000000;1;179
;1;000;000;000;110;101;0000000;1;180
;1;000;000;000;110;101;0000000;1;181
;1;000;000;000;110;101;0000000;1;182
;1;000;000;000;110;101;0000000;1;183
;1;000;000;000;110;101;0000000;1;184
;1;000;000;000;110;101;0000000;1;185
;1;000;000;000;110;101;0000000;1;186
;1;000;000;000;110;101;0000000;1;187
;1;000;000;000;110;101;0000000;1;188
;1;000;000;000;110;101;0000000;1;189
;1;000;000;000;110;101;0000000;1;190
-;DNL 6;;;;;;;;
;1;000;000;000;110;110;0000000;1;191
;1;001;000;000;110;110;0000000;1;192
;1;000;000;000;110;110;0000000;1;193
;1;000;000;000;110;110;0000000;1;194
;1;000;000;000;110;110;0000000;1;195
;1;000;000;000;110;110;0000000;1;196
;1;000;000;000;110;110;0000000;1;197
;1;000;000;000;110;110;0000000;1;198
;1;000;000;000;110;110;0000000;1;199
;1;000;000;000;110;110;0000000;1;200
;1;000;000;000;110;110;0000000;1;201
;1;000;000;000;110;110;0000000;1;202
;1;000;000;000;110;110;0000000;1;203
;1;000;000;000;110;110;0000000;1;204
;1;000;000;000;110;110;0000000;1;205
;1;000;000;000;110;110;0000000;1;206
;1;000;000;000;110;110;0000000;1;207
;1;000;000;000;110;110;0000000;1;208
;1;000;000;000;110;110;0000000;1;209
;1;000;000;000;110;110;0000000;1;210
;1;000;000;000;110;110;0000000;1;211
;1;000;000;000;110;110;0000000;1;212
;1;000;000;000;110;110;0000000;1;213
;1;000;000;000;110;110;0000000;1;214
;1;000;000;000;110;110;0000000;1;215
;1;000;000;000;110;110;0000000;1;216
;1;000;000;000;110;110;0000000;1;217
;1;000;000;000;110;110;0000000;1;218
;1;000;000;000;110;110;0000000;1;219
;0;000;000;000;110;110;0000000;0;220
-;Read the DNL from the RAM;;;;;;;;
;0;000;000;000;110;110;0000000;0;221
;0;000;001;000;110;110;0000000;0;222
;0;001;010;000;110;110;1111010;0;223
;0;011;011;000;110;110;1111110;0;224
;0;100;100;000;110;110;0000001;0;225
;0;101;101;000;110;110;0000011;0;226
;0;111;110;000;110;110;0001000;0;227
;0;001;111;000;110;110;1111010;0;228
;0;000;000;000;110;110;0000000;0;229
