-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;brief: Testbench For entity inl;;;;;;;;
-;file: inl_tb.xlsm;;;;;;;;
-;author: Lukas Leuenberger;;;;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Copyright(c) 2020 by OST – Eastern Switzerland University of Applied Sciences;;;;;;;;
-;All rights reserved.;;;;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;File history:;;;;;;;;
-;;;;;;;;;
-;Version;Date;Author;Remarks;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;0;09.04.2020;L. Leuenberger;Auto-Created;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Stimulus:;;;;;Response:;;;Testvector:
-;start_in;dnlData_in;inlAddr_in;minLengthCarryChain_in;maxLengthCarryChain_in;dnlAddr_out;inlData_out;inlRunning_out;
-;std_logic;std_logic_vector(G_NO_OF_SAMPLES_HIST + G_NO_OF_FRACTIONAL downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NUM_OF_BITS_FOR_MAX_ELEMS - 1 downto 0);std_logic_vector(G_NO_OF_SAMPLES_HIST downto 0);std_logic;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Reset sequence;;;;;;;;
;0;0000000;000;000;000;UUU;0000;0;1
-;Start INL calculation;;;;;;;;
;1;0000000;000;000;110;UUU;0000;0;2
;0;0000000;000;000;110;UUU;0000;1;3
;0;0000000;000;000;110;000;0000;1;4
;0;0000000;000;000;110;001;0000;1;5
;0;1111010;000;000;110;010;0000;1;6
;0;1111111;000;000;110;011;0000;1;7
;0;0000001;000;000;110;100;0000;1;8
;0;0000100;000;000;110;101;1000;1;9
;0;0001001;000;000;110;110;1000;1;10
;0;0001001;000;000;110;111;1000;1;11
;0;0000000;000;000;110;000;1000;1;12
;0;0000000;000;000;110;001;1000;0;13
-;Read out INL;;;;;;;;
;0;0000000;000;000;110;001;1000;0;14
;0;0000000;001;000;110;001;1000;0;15
;0;0000000;010;000;110;001;0000;0;16
;0;0000000;011;000;110;001;1111;0;17
;0;0000000;100;000;110;001;1111;0;18
;0;0000000;101;000;110;001;0000;0;19
;0;0000000;110;000;110;001;0000;0;20
;0;0000000;111;000;110;001;0001;0;21
;0;0000000;000;000;110;001;0000;0;22
