-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;brief: Testbench For entity inlCorrectionControl;;;;;;;;
-;file: inlCorrectionControl_tb.xlsm;;;;;;;;
-;author: Lukas Leuenberger;;;;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Copyright(c) 2020 by HSR, Switzerland;;;;;;;;
-;All rights reserved.;;;;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;File history:;;;;;;;;
-;;;;;;;;;
-;Version;Date;Author;Remarks;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;0;10.04.2020;L. Leuenberger;Auto-Created;;;;;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Stimulus:;;;;Response:;;;;Testvector:
-;start_in;histRunning_in;dnlRunning_in;inlRunning_in;calculationRunning_out;histStart_out;dnlStart_out;inlStart_out;
-;std_logic;std_logic;std_logic;std_logic;std_logic;std_logic;std_logic;std_logic;
-;----------------------------------------------------------------------------------------------------;;;;;;;;
-;Reset sequence;;;;;;;;
;0;0;0;0;0;0;0;0;1
-;Run a calculation;;;;;;;;
;1;0;0;0;0;0;0;0;2
;0;0;0;0;1;1;0;0;3
;0;1;0;0;1;1;0;0;4
;0;0;0;0;1;0;0;0;5
;0;0;0;0;1;0;1;0;6
;0;0;1;0;1;0;1;0;7
;0;0;0;0;1;0;0;0;8
;0;0;0;0;1;0;0;1;9
;0;0;0;1;1;0;0;1;10
;0;0;0;0;1;0;0;0;11
;0;0;0;0;0;0;0;0;12
